name,state,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A1,A2,A3,B1,B2,B3
GENE-14218,NO,116.3,49.3,67,1.35,0.4,1.9e-01,1.0e+00,0.8983,868,35,50,63,86,50,65
GENE-5980,NO,286.3,164,122.3,0.746,-0.4,1.9e-01,1.0e+00,0.8983,869,137,156,199,156,77,134
GENE-6006,NO,921,492.3,428.7,0.871,-0.2,1.9e-01,1.0e+00,0.8983,870,482,512,483,402,429,455
GENE-12411,NO,49.3,28,21.3,0.76,-0.4,1.9e-01,1.0e+00,0.8983,870,29,25,30,17,18,29
GENE-12495,NO,318.3,173.7,144.7,0.836,-0.3,1.9e-01,1.0e+00,0.9005,873,142,199,180,131,152,151
GENE-1998,NO,579.3,316,263.3,0.834,-0.3,1.9e-01,1.0e+00,0.9018,876,341,347,260,270,231,289
GENE-14215,NO,207.3,94.7,112.7,1.189,0.2,1.9e-01,1.0e+00,0.9021,877,96,83,105,107,104,127
GENE-15061,NO,331,148.3,182.7,1.233,0.3,1.9e-01,1.0e+00,0.903,879,151,126,168,188,217,143
GENE-15372,NO,1273.3,686.7,586.7,0.854,-0.2,1.9e-01,1.0e+00,0.903,880,718,612,730,591,519,650
GENE-3688,NO,45,25.7,19.3,0.751,-0.4,1.9e-01,1.0e+00,0.903,880,27,30,20,18,15,25
GENE-14605,NO,49.3,18.7,30.7,1.632,0.7,1.9e-01,1.0e+00,0.903,881,25,12,19,19,53,20
GENE-12156,NO,27.3,17,10.3,0.608,-0.7,1.9e-01,1.0e+00,0.903,882,12,26,13,10,5,16
GENE-15662,NO,1202.3,558.3,644,1.153,0.2,1.9e-01,1.0e+00,0.903,883,548,566,561,679,683,570
GENE-6870,NO,1126,505.3,620.7,1.227,0.3,1.9e-01,1.0e+00,0.903,884,517,575,424,534,561,767
GENE-3184,NO,58.7,26,32.7,1.25,0.3,1.9e-01,1.0e+00,0.903,885,29,28,21,31,30,37
GENE-10270,NO,952.7,436.3,516.3,1.183,0.2,1.9e-01,1.0e+00,0.903,886,487,429,393,516,448,585
GENE-1107,NO,38,14.3,23.7,1.638,0.7,1.9e-01,1.0e+00,0.903,887,14,15,14,8,32,31
GENE-16871,NO,221,120.7,100.3,0.827,-0.3,1.9e-01,1.0e+00,0.903,888,108,136,118,120,85,96
GENE-7494,NO,687,315.3,371.7,1.18,0.2,1.9e-01,1.0e+00,0.903,889,346,301,299,363,427,325
GENE-4119,NO,616.7,338.3,278.3,0.822,-0.3,1.9e-01,1.0e+00,0.903,889,358,281,376,257,335,243
GENE-8154,NO,339.3,186,153.3,0.827,-0.3,1.9e-01,1.0e+00,0.903,890,155,194,209,181,144,135
GENE-7199,NO,23.7,9.7,14,1.437,0.5,1.9e-01,1.0e+00,0.903,891,13,5,11,14,15,13
GENE-8390,NO,129,71,58,0.818,-0.3,1.9e-01,1.0e+00,0.903,892,85,65,63,67,56,51
GENE-8440,NO,578.3,259.3,319,1.23,0.3,1.9e-01,1.0e+00,0.903,893,305,260,213,371,326,260
GENE-19633,NO,44.3,25,19.3,0.771,-0.4,1.9e-01,1.0e+00,0.903,894,27,22,26,18,15,25
GENE-15381,NO,478.7,257.3,221.3,0.861,-0.2,1.9e-01,1.0e+00,0.903,895,273,254,245,248,207,209
GENE-12880,NO,62.3,27.7,34.7,1.245,0.3,1.9e-01,1.0e+00,0.903,896,24,34,25,34,37,33
GENE-4226,NO,1576,846,730,0.863,-0.2,1.9e-01,1.0e+00,0.903,897,940,806,792,785,662,743
GENE-9477,NO,2883.3,1351.7,1531.7,1.133,0.2,1.9e-01,1.0e+00,0.903,898,1309,1421,1325,1432,1546,1617
GENE-7230,NO,4437.3,2373.3,2064,0.87,-0.2,1.9e-01,1.0e+00,0.903,898,2304,2466,2350,2362,1887,1943
GENE-18383,NO,1418.3,654,764.3,1.168,0.2,1.9e-01,1.0e+00,0.9033,900,719,678,565,815,696,782
GENE-4802,NO,326.7,221.3,105.3,0.476,-1.1,1.9e-01,1.0e+00,0.9044,902,86,172,406,81,201,34
GENE-7361,NO,48.3,27,21.3,0.787,-0.3,1.9e-01,1.0e+00,0.9047,903,26,25,30,24,24,16
GENE-1030,NO,24446.3,13114,11332.3,0.864,-0.2,1.9e-01,1.0e+00,0.9047,904,13496,14865,10981,11593,11534,10870
GENE-1071,NO,489.3,264,225.3,0.854,-0.2,1.9e-01,1.0e+00,0.9047,905,249,258,285,234,195,247
GENE-3957,NO,1362,610,752,1.233,0.3,1.9e-01,1.0e+00,0.9047,906,503,755,572,899,671,686
GENE-12968,NO,24.3,14.3,10,0.697,-0.5,1.9e-01,1.0e+00,0.9049,907,14,16,13,9,15,6
GENE-10050,NO,54.7,24,30.7,1.271,0.3,1.9e-01,1.0e+00,0.9049,908,26,23,23,28,25,39
GENE-7490,NO,2826.7,1588,1238.7,0.78,-0.4,1.9e-01,1.0e+00,0.9049,909,1715,1469,1580,855,1688,1173
GENE-13548,NO,173.3,98.7,74.7,0.755,-0.4,2.0e-01,1.0e+00,0.9062,911,134,70,92,61,72,91
GENE-12417,NO,44.7,34.3,10.3,0.302,-1.7,2.0e-01,1.0e+00,0.9062,912,40,57,6,0,30,1
GENE-5867,NO,279,128.7,150.3,1.168,0.2,2.0e-01,1.0e+00,0.9062,913,116,144,126,147,140,164
GENE-15246,NO,1111.7,489,622.7,1.273,0.3,2.0e-01,1.0e+00,0.9066,914,393,411,663,621,710,537
GENE-15235,NO,37.7,15.3,22.3,1.446,0.5,2.0e-01,1.0e+00,0.9078,916,12,17,17,27,12,28
GENE-11395,NO,100.3,44.7,55.7,1.239,0.3,2.0e-01,1.0e+00,0.9137,923,37,54,43,64,52,51
GENE-2484,NO,317,172,145,0.846,-0.2,2.0e-01,1.0e+00,0.9138,924,156,188,172,128,138,169
GENE-3383,NO,900.7,402,498.7,1.24,0.3,2.0e-01,1.0e+00,0.9138,925,389,365,452,509,370,617
GENE-14115,NO,147,83,64,0.771,-0.4,2.0e-01,1.0e+00,0.9138,926,98,94,57,64,77,51
GENE-10958,NO,83.3,37,46.3,1.245,0.3,2.0e-01,1.0e+00,0.9138,927,31,47,33,46,46,47
GENE-5393,NO,518.3,227,291.3,1.284,0.4,2.0e-01,1.0e+00,0.9138,927,199,246,236,384,291,199
GENE-13818,NO,653,291,362,1.242,0.3,2.0e-01,1.0e+00,0.9138,928,334,230,309,295,349,442
GENE-15875,NO,281,129.3,151.7,1.172,0.2,2.0e-01,1.0e+00,0.9138,929,127,123,138,148,174,133
GENE-7682,NO,45.3,26.3,19,0.719,-0.5,2.0e-01,1.0e+00,0.9148,931,22,19,38,15,23,19
GENE-1935,NO,119,41,78,1.908,0.9,2.0e-01,1.0e+00,0.9171,935,49,60,14,26,82,126
GENE-6072,NO,120.3,55,65.3,1.189,0.2,2.0e-01,1.0e+00,0.9171,935,53,60,52,57,73,66
GENE-16663,YES,98.3,44.3,54,1.212,0.3,2.0e-01,1.0e+00,0.9171,936,42,40,51,60,47,55
GENE-9607,NO,215.3,129.7,85.7,0.659,-0.6,2.0e-01,1.0e+00,0.9175,938,105,122,162,36,125,96
GENE-19499,NO,169.7,76.7,93,1.212,0.3,2.0e-01,1.0e+00,0.9175,939,66,78,86,101,103,75
GENE-440,NO,605,370.3,234.7,0.634,-0.7,2.0e-01,1.0e+00,0.9175,940,454,212,445,103,302,299
GENE-19099,NO,73.7,42,31.7,0.751,-0.4,2.0e-01,1.0e+00,0.9175,940,39,56,31,28,40,27
GENE-9309,NO,427.3,244,183.3,0.752,-0.4,2.0e-01,1.0e+00,0.9175,941,289,158,285,235,146,169
GENE-17901,NO,688,314.3,373.7,1.19,0.3,2.0e-01,1.0e+00,0.9175,942,274,301,368,332,419,370
GENE-18294,NO,69,30.3,38.7,1.267,0.3,2.0e-01,1.0e+00,0.9175,943,30,32,29,36,50,30
GENE-3948,NO,603.7,260,343.7,1.323,0.4,2.0e-01,1.0e+00,0.9175,944,376,225,179,319,390,322
GENE-2914,NO,3303,1546,1757,1.137,0.2,2.0e-01,1.0e+00,0.9177,945,1438,1577,1623,1745,1625,1901
GENE-10764,NO,2069.7,968.3,1101.3,1.138,0.2,2.0e-01,1.0e+00,0.9187,947,1045,945,915,1092,1042,1170
GENE-17106,NO,33.3,19,14.3,0.752,-0.4,2.0e-01,1.0e+00,0.9191,948,17,19,21,10,19,14
GENE-18299,NO,360.7,192.3,168.3,0.878,-0.2,2.0e-01,1.0e+00,0.9191,949,190,187,200,165,175,165
GENE-756,NO,344.3,157,187.3,1.194,0.3,2.0e-01,1.0e+00,0.9191,950,132,147,192,181,200,181
GENE-606,NO,794.3,344.7,449.7,1.304,0.4,2.0e-01,1.0e+00,0.9191,951,342,417,275,299,553,497
GENE-3569,NO,5069.7,2263.7,2806,1.239,0.3,2.0e-01,1.0e+00,0.9191,952,2783,1652,2356,3220,2795,2403
GENE-13423,NO,2097.3,962.7,1134.7,1.179,0.2,2.0e-01,1.0e+00,0.9196,954,873,1163,852,1052,1129,1223
GENE-4775,NO,267.7,108,159.7,1.478,0.6,2.0e-01,1.0e+00,0.9196,955,101,106,117,240,71,168
GENE-1312,NO,1060.3,586.7,473.7,0.807,-0.3,2.0e-01,1.0e+00,0.9196,956,481,729,550,400,575,446
GENE-614,NO,1162.7,630,532.7,0.846,-0.2,2.0e-01,1.0e+00,0.9196,956,620,552,718,457,595,546
GENE-16590,NO,25.7,14.7,11,0.748,-0.4,2.1e-01,1.0e+00,0.9196,957,15,15,14,10,15,8
GENE-11467,NO,225.3,126.7,98.7,0.781,-0.4,2.1e-01,1.0e+00,0.9196,958,141,93,146,121,75,100
GENE-18765,NO,217.3,129.7,87.7,0.676,-0.6,2.1e-01,1.0e+00,0.9196,959,101,189,99,51,81,131
GENE-5548,NO,2321.3,1271.7,1049.7,0.825,-0.3,2.1e-01,1.0e+00,0.9196,960,1101,1461,1253,1043,836,1270
GENE-9892,NO,95.7,43.3,52.3,1.202,0.3,2.1e-01,1.0e+00,0.9196,961,51,37,42,55,51,51
GENE-11265,NO,91.3,40.7,50.7,1.239,0.3,2.1e-01,1.0e+00,0.9196,962,45,42,35,52,60,40
GENE-3892,NO,1705.7,1025.3,680.3,0.664,-0.6,2.1e-01,1.0e+00,0.9196,963,726,806,1544,769,920,352
GENE-6884,NO,2647.7,1473.7,1174,0.797,-0.3,2.1e-01,1.0e+00,0.9196,964,1336,1630,1455,968,945,1609
GENE-17177,NO,777.7,419,358.7,0.857,-0.2,2.1e-01,1.0e+00,0.9196,965,431,436,390,403,307,366
GENE-19619,NO,31.3,17.7,13.7,0.771,-0.4,2.1e-01,1.0e+00,0.9196,966,15,18,20,14,14,13
GENE-4924,YES,516.7,239,277.7,1.163,0.2,2.1e-01,1.0e+00,0.9196,967,244,247,226,260,254,319
GENE-11095,NO,104,46.3,57.7,1.239,0.3,2.1e-01,1.0e+00,0.9197,968,51,47,41,45,58,70
GENE-15227,YES,136,55.3,80.7,1.45,0.5,2.1e-01,1.0e+00,0.9204,969,62,43,61,89,114,39
GENE-5725,NO,749,401,348,0.867,-0.2,2.1e-01,1.0e+00,0.9204,970,443,387,373,325,373,346
GENE-18431,NO,443.7,202.7,241,1.191,0.3,2.1e-01,1.0e+00,0.921,972,185,220,203,241,198,284
GENE-2187,NO,450.3,246,204.3,0.832,-0.3,2.1e-01,1.0e+00,0.921,973,254,201,283,232,176,205
GENE-2406,NO,100,55,45,0.82,-0.3,2.1e-01,1.0e+00,0.921,974,57,65,43,45,43,47
GENE-7751,NO,54,29.7,24.3,0.817,-0.3,2.1e-01,1.0e+00,0.921,974,32,31,26,27,21,25
GENE-10190,NO,215.3,116,99.3,0.853,-0.2,2.1e-01,1.0e+00,0.921,975,125,100,123,107,90,101
GENE-13039,YES,20.7,8.7,12,1.372,0.5,2.1e-01,1.0e+00,0.921,976,7,9,10,12,12,12
GENE-1537,NO,75.3,31.7,43.7,1.37,0.5,2.1e-01,1.0e+00,0.921,977,23,43,29,33,59,39
GENE-18429,NO,1930.7,863.3,1067.3,1.236,0.3,2.1e-01,1.0e+00,0.921,978,680,961,949,846,1319,1037
GENE-15477,NO,2498.3,1354.3,1144,0.845,-0.2,2.1e-01,1.0e+00,0.921,979,1414,1213,1436,954,1378,1100
GENE-16635,NO,36.7,16,20.7,1.283,0.4,2.1e-01,1.0e+00,0.921,980,16,19,13,25,18,19
GENE-11613,NO,392,181.7,210.3,1.161,0.2,2.1e-01,1.0e+00,0.921,981,199,179,167,188,229,214
GENE-8104,NO,418.3,224,194.3,0.869,-0.2,2.1e-01,1.0e+00,0.921,982,225,237,210,190,180,213
GENE-3558,NO,106.7,58.7,48,0.82,-0.3,2.1e-01,1.0e+00,0.9211,983,63,60,53,57,38,49
GENE-12864,NO,123.7,68,55.7,0.82,-0.3,2.1e-01,1.0e+00,0.9211,984,82,64,58,62,47,58
GENE-4516,NO,422.3,227,195.3,0.862,-0.2,2.1e-01,1.0e+00,0.9213,985,223,226,232,219,168,199
GENE-179,NO,3011.3,1350.7,1660.7,1.23,0.3,2.1e-01,1.0e+00,0.9238,988,1225,1612,1215,1232,1802,1948
GENE-10105,NO,1831.3,981.7,849.7,0.866,-0.2,2.1e-01,1.0e+00,0.9243,990,905,1138,902,806,893,850
GENE-6478,NO,444,246.7,197.3,0.801,-0.3,2.1e-01,1.0e+00,0.9243,991,331,189,220,198,183,211
GENE-17396,NO,923,414.7,508.3,1.226,0.3,2.1e-01,1.0e+00,0.9243,992,320,451,473,415,523,587
GENE-3481,NO,393.7,233.3,160.3,0.688,-0.5,2.1e-01,1.0e+00,0.9243,993,205,218,277,123,267,91
GENE-8429,NO,45.3,20,25.3,1.259,0.3,2.1e-01,1.0e+00,0.9243,994,22,22,16,29,21,26
GENE-14379,NO,27.3,11,16.3,1.473,0.6,2.1e-01,1.0e+00,0.9243,995,13,7,13,21,9,19
GENE-16636,NO,369.3,202,167.3,0.83,-0.3,2.1e-01,1.0e+00,0.9243,996,228,156,222,153,161,188
GENE-15357,NO,410,224.7,185.3,0.826,-0.3,2.1e-01,1.0e+00,0.9243,996,203,211,260,162,230,164
GENE-3101,NO,43.7,15.3,28.3,1.831,0.9,2.1e-01,1.0e+00,0.9243,997,3,11,32,31,25,29
GENE-3297,NO,48.3,27,21.3,0.788,-0.3,2.1e-01,1.0e+00,0.9243,998,30,29,22,21,17,26
GENE-6744,NO,103.7,56.3,47.3,0.841,-0.2,2.1e-01,1.0e+00,0.9243,999,50,63,56,46,44,52
GENE-16372,NO,63.7,26,37.7,1.438,0.5,2.1e-01,1.0e+00,0.9243,1000,12,38,28,39,37,37
GENE-15558,NO,29,12.3,16.7,1.341,0.4,2.2e-01,1.0e+00,0.9243,1001,12,12,13,22,17,11
GENE-3162,NO,385.3,175.7,209.7,1.194,0.3,2.2e-01,1.0e+00,0.9243,1002,193,194,140,202,190,237
GENE-13761,NO,1394.7,854.7,540,0.632,-0.7,2.2e-01,1.0e+00,0.9243,1003,1394,797,373,494,364,762
GENE-19527,NO,318.3,175,143.3,0.819,-0.3,2.2e-01,1.0e+00,0.9243,1004,153,158,214,136,121,173
GENE-5894,NO,17.3,11,6.3,0.578,-0.8,2.2e-01,1.0e+00,0.9243,1005,13,7,13,12,2,5
GENE-1514,NO,2587,1531.3,1055.7,0.69,-0.5,2.2e-01,1.0e+00,0.9243,1006,1821,870,1903,615,1438,1114
GENE-2097,NO,570,305.7,264.3,0.865,-0.2,2.2e-01,1.0e+00,0.9243,1007,317,323,277,235,285,273
GENE-8393,NO,116.7,47.7,69,1.447,0.5,2.2e-01,1.0e+00,0.9243,1008,25,62,56,97,58,52
GENE-17266,YES,63,27,36,1.325,0.4,2.2e-01,1.0e+00,0.9243,1008,29,28,24,50,34,24
GENE-14762,NO,553.3,255.7,297.7,1.164,0.2,2.2e-01,1.0e+00,0.9243,1009,236,239,292,301,323,269
GENE-2975,NO,189,70,119,1.703,0.8,2.2e-01,1.0e+00,0.9243,1010,71,114,25,158,59,140
GENE-5404,NO,569.7,318.7,251,0.788,-0.3,2.2e-01,1.0e+00,0.9243,1011,212,394,350,227,289,237
GENE-8955,NO,518,230.3,287.7,1.25,0.3,2.2e-01,1.0e+00,0.9243,1012,216,263,212,204,295,364
GENE-11224,NO,174.7,81,93.7,1.156,0.2,2.2e-01,1.0e+00,0.9243,1013,84,81,78,83,98,100
GENE-11444,NO,46.3,20.3,26,1.271,0.3,2.2e-01,1.0e+00,0.9243,1014,21,18,22,19,31,28
GENE-7648,NO,97.7,55,42.7,0.773,-0.4,2.2e-01,1.0e+00,0.9243,1015,56,46,63,28,50,50
GENE-4887,NO,1130,633.7,496.3,0.783,-0.4,2.2e-01,1.0e+00,0.9243,1016,703,525,673,522,331,636
GENE-10120,NO,140.7,63,77.7,1.233,0.3,2.2e-01,1.0e+00,0.9243,1017,72,71,46,86,80,67
GENE-16907,NO,866.7,483,383.7,0.794,-0.3,2.2e-01,1.0e+00,0.9243,1018,413,616,420,481,300,370
GENE-3690,NO,103.7,44.7,59,1.315,0.4,2.2e-01,1.0e+00,0.9243,1019,60,47,27,63,55,59
GENE-7673,NO,309,168.3,140.7,0.837,-0.3,2.2e-01,1.0e+00,0.9243,1020,139,193,173,158,119,145
GENE-17293,NO,1436.7,784.7,652,0.831,-0.3,2.2e-01,1.0e+00,0.9243,1020,846,733,775,815,511,630
GENE-12740,NO,692,315,377,1.197,0.3,2.2e-01,1.0e+00,0.9243,1021,331,325,289,293,446,392
GENE-1890,NO,176.3,125,51.3,0.41,-1.3,2.2e-01,1.0e+00,0.9243,1022,8,260,107,64,64,26
GENE-14514,NO,1415.3,662,753.3,1.138,0.2,2.2e-01,1.0e+00,0.9243,1023,699,633,654,695,819,746
GENE-7523,NO,1189,638.7,550.3,0.862,-0.2,2.2e-01,1.0e+00,0.9243,1024,700,668,548,497,588,566
GENE-14209,NO,214.3,87.3,127,1.452,0.5,2.2e-01,1.0e+00,0.9243,1025,55,76,131,91,104,186
GENE-2668,NO,191.3,118.3,73,0.616,-0.7,2.2e-01,1.0e+00,0.9243,1026,210,83,62,103,42,74
GENE-3482,NO,1354,723.7,630.3,0.871,-0.2,2.2e-01,1.0e+00,0.9243,1027,662,774,735,604,586,701
GENE-13873,NO,2529.3,1413.3,1116,0.789,-0.3,2.2e-01,1.0e+00,0.9243,1028,1142,1430,1668,1196,766,1386
GENE-745,NO,31.3,13,18.3,1.399,0.5,2.2e-01,1.0e+00,0.9243,1029,11,18,10,20,23,12
GENE-4047,NO,52,29.3,22.7,0.77,-0.4,2.2e-01,1.0e+00,0.9243,1030,36,32,20,25,19,24
GENE-4013,NO,54.7,23.7,31,1.301,0.4,2.2e-01,1.0e+00,0.9245,1031,17,28,26,39,26,28
GENE-9654,NO,109.7,60.3,49.3,0.818,-0.3,2.2e-01,1.0e+00,0.9247,1032,45,68,68,48,50,50
GENE-12714,NO,105.3,57.3,48,0.834,-0.3,2.2e-01,1.0e+00,0.9247,1033,57,50,65,52,41,51
GENE-6286,NO,460,259,201,0.777,-0.4,2.2e-01,1.0e+00,0.9247,1034,302,261,214,144,277,182
GENE-3797,NO,28.7,11.7,17,1.447,0.5,2.2e-01,1.0e+00,0.9269,1037,15,9,11,9,22,20
GENE-2677,NO,20.7,8.3,12.3,1.468,0.6,2.2e-01,1.0e+00,0.9269,1038,13,5,7,11,10,16
GENE-13335,NO,112.3,50.3,62,1.226,0.3,2.2e-01,1.0e+00,0.9269,1039,63,40,48,65,67,54
GENE-19863,NO,29,17,12,0.705,-0.5,2.2e-01,1.0e+00,0.9269,1040,16,14,21,18,11,7
GENE-15949,NO,219.3,124,95.3,0.766,-0.4,2.2e-01,1.0e+00,0.9269,1041,117,131,124,85,63,138
GENE-565,NO,1369,796,573,0.72,-0.5,2.2e-01,1.0e+00,0.9269,1042,1196,541,651,437,503,779
GENE-19644,NO,682,363,319,0.878,-0.2,2.2e-01,1.0e+00,0.9269,1043,375,353,361,297,314,346
GENE-12583,NO,22,9.3,12.7,1.346,0.4,2.2e-01,1.0e+00,0.9269,1044,7,11,10,10,12,16
GENE-12017,NO,57.3,25,32.3,1.286,0.4,2.3e-01,1.0e+00,0.9269,1045,25,22,28,22,39,36
GENE-11697,NO,665,271.3,393.7,1.451,0.5,2.3e-01,1.0e+00,0.9269,1046,162,348,304,423,543,215
GENE-17471,NO,114.7,52.3,62.3,1.186,0.2,2.3e-01,1.0e+00,0.9269,1047,58,43,56,59,66,62
GENE-1597,NO,188,86.7,101.3,1.168,0.2,2.3e-01,1.0e+00,0.9269,1047,90,73,97,96,103,105
GENE-14116,NO,127.3,56.3,71,1.262,0.3,2.3e-01,1.0e+00,0.9269,1048,61,65,43,55,69,89
GENE-13478,NO,858.7,403,455.7,1.13,0.2,2.3e-01,1.0e+00,0.9269,1049,390,403,416,439,467,461
GENE-8448,NO,300.7,119.7,181,1.516,0.6,2.3e-01,1.0e+00,0.9269,1050,74,105,180,111,142,290
GENE-19943,NO,35.3,10.7,24.7,2.285,1.2,2.3e-01,1.0e+00,0.9269,1051,15,16,1,53,10,11
GENE-10271,NO,40.3,22.3,18,0.803,-0.3,2.3e-01,1.0e+00,0.9269,1052,19,21,27,19,16,19
GENE-5203,YES,31,18,13,0.722,-0.5,2.3e-01,1.0e+00,0.9269,1053,27,13,14,11,13,15
GENE-8608,YES,567.7,324.7,243,0.748,-0.4,2.3e-01,1.0e+00,0.9269,1054,388,278,308,284,308,137
GENE-10550,NO,2996.3,1408,1588.3,1.128,0.2,2.3e-01,1.0e+00,0.9269,1055,1377,1434,1413,1674,1676,1415
GENE-9815,NO,116.3,63.3,53,0.833,-0.3,2.3e-01,1.0e+00,0.9269,1056,58,58,74,62,49,48
GENE-8900,NO,1053.7,581.3,472.3,0.813,-0.3,2.3e-01,1.0e+00,0.9269,1057,460,524,760,449,424,544
GENE-19569,NO,128,69.3,58.7,0.846,-0.2,2.3e-01,1.0e+00,0.9269,1058,59,78,71,61,53,62
GENE-3190,NO,466,257,209,0.814,-0.3,2.3e-01,1.0e+00,0.9269,1059,194,329,248,230,184,213
GENE-1654,NO,719.3,338,381.3,1.129,0.2,2.3e-01,1.0e+00,0.9269,1059,337,349,328,374,375,395
GENE-10382,NO,787,351,436,1.242,0.3,2.3e-01,1.0e+00,0.9269,1060,391,269,393,513,466,329
GENE-2881,NO,25.3,14.7,10.7,0.726,-0.5,2.3e-01,1.0e+00,0.9269,1061,10,14,20,8,12,12
GENE-18596,NO,159,88,71,0.803,-0.3,2.3e-01,1.0e+00,0.9269,1062,103,86,75,93,63,57
GENE-940,NO,303.7,142,161.7,1.14,0.2,2.3e-01,1.0e+00,0.9269,1063,133,148,145,151,159,175
GENE-4736,NO,107,58,49,0.842,-0.2,2.3e-01,1.0e+00,0.9269,1064,66,54,54,56,44,47
GENE-15973,NO,939,498.3,440.7,0.885,-0.2,2.3e-01,1.0e+00,0.9269,1065,499,499,497,468,437,417
GENE-9232,NO,116.3,66,50.3,0.761,-0.4,2.3e-01,1.0e+00,0.9269,1066,97,44,57,51,50,50
GENE-12139,NO,451.7,209.7,242,1.155,0.2,2.3e-01,1.0e+00,0.9269,1067,190,230,209,265,245,216
GENE-4002,NO,111,69,42,0.607,-0.7,2.3e-01,1.0e+00,0.9269,1068,65,51,91,69,12,45
GENE-7914,NO,6130.7,3486,2644.7,0.759,-0.4,2.3e-01,1.0e+00,0.9269,1069,2292,3377,4789,2527,3361,2046
GENE-7008,NO,291.3,97.3,194,1.988,1,2.3e-01,1.0e+00,0.9269,1070,193,52,47,173,60,349
GENE-15030,NO,383.3,107.3,276,2.578,1.4,2.3e-01,1.0e+00,0.9269,1071,47,62,213,682,48,98
GENE-1278,NO,183.3,100.7,82.7,0.82,-0.3,2.3e-01,1.0e+00,0.9269,1072,86,96,120,69,78,101
GENE-14787,NO,3580.3,1535.7,2044.7,1.331,0.4,2.3e-01,1.0e+00,0.9291,1075,1250,1212,2145,1927,2759,1448
GENE-13541,NO,50.3,28,22.3,0.795,-0.3,2.3e-01,1.0e+00,0.9291,1076,27,26,31,27,24,16
GENE-11010,NO,164.3,76,88.3,1.161,0.2,2.3e-01,1.0e+00,0.9291,1077,66,83,79,84,86,95
GENE-8009,NO,2417.7,1280,1137.7,0.889,-0.2,2.3e-01,1.0e+00,0.9291,1078,1219,1237,1384,1116,1206,1091
GENE-12514,NO,1061.3,477.7,583.7,1.22,0.3,2.3e-01,1.0e+00,0.9291,1079,403,638,392,560,606,585
GENE-10582,NO,1671,884,787,0.89,-0.2,2.3e-01,1.0e+00,0.9291,1080,918,875,859,763,762,836
GENE-8010,NO,47,27,20,0.739,-0.4,2.3e-01,1.0e+00,0.9291,1081,37,26,18,25,15,20
GENE-4355,NO,152,83.3,68.7,0.823,-0.3,2.3e-01,1.0e+00,0.9291,1081,70,105,75,64,79,63
GENE-13658,NO,568,243.3,324.7,1.336,0.4,2.3e-01,1.0e+00,0.9291,1082,207,303,220,476,284,214
GENE-9440,NO,698.7,315.7,383,1.213,0.3,2.3e-01,1.0e+00,0.9291,1083,325,336,286,308,496,345
GENE-10700,NO,4677.7,2495.7,2182,0.874,-0.2,2.3e-01,1.0e+00,0.9291,1084,2119,2836,2532,2123,2150,2273
GENE-1503,NO,4501.3,2428,2073.3,0.854,-0.2,2.3e-01,1.0e+00,0.9292,1085,2568,2076,2640,2428,2042,1750
GENE-3111,NO,28,11.7,16.3,1.389,0.5,2.3e-01,1.0e+00,0.9292,1086,15,13,7,21,16,12
GENE-16946,NO,42.3,24.3,18,0.738,-0.4,2.3e-01,1.0e+00,0.9292,1087,33,20,20,25,15,14
GENE-11142,NO,57,25.3,31.7,1.243,0.3,2.3e-01,1.0e+00,0.9292,1088,26,22,28,24,36,35
GENE-11741,NO,322.3,149,173.3,1.162,0.2,2.3e-01,1.0e+00,0.9308,1091,146,165,136,169,153,198
GENE-19042,NO,116.7,54,62.7,1.155,0.2,2.3e-01,1.0e+00,0.9308,1092,53,55,54,58,64,66
GENE-6057,NO,117.3,54,63.3,1.174,0.2,2.3e-01,1.0e+00,0.9313,1093,50,62,50,58,68,64
GENE-694,NO,45.3,26,19.3,0.742,-0.4,2.3e-01,1.0e+00,0.9313,1094,30,16,32,15,24,19
GENE-2296,NO,379.7,206.3,173.3,0.841,-0.2,2.3e-01,1.0e+00,0.9313,1095,169,256,194,179,179,162
GENE-1402,NO,231.7,102,129.7,1.272,0.3,2.4e-01,1.0e+00,0.9313,1096,101,134,71,103,140,146
GENE-12933,NO,31.3,17.7,13.7,0.772,-0.4,2.4e-01,1.0e+00,0.9313,1097,24,15,14,13,14,14
GENE-16502,NO,492,263.3,228.7,0.869,-0.2,2.4e-01,1.0e+00,0.9313,1098,278,243,269,224,205,257
GENE-14638,NO,337.3,106,231.3,2.176,1.1,2.4e-01,1.0e+00,0.9313,1099,223,32,63,72,158,464
GENE-12262,NO,69.3,30,39.3,1.304,0.4,2.4e-01,1.0e+00,0.9313,1100,26,21,43,36,43,39
GENE-10451,NO,4602,2122.7,2479.3,1.168,0.2,2.4e-01,1.0e+00,0.9317,1101,2200,2335,1833,2145,2941,2352
GENE-12439,NO,2315.7,1229,1086.7,0.884,-0.2,2.4e-01,1.0e+00,0.9317,1102,1192,1150,1345,1146,999,1115
GENE-13747,NO,2700.3,1262.3,1438,1.139,0.2,2.4e-01,1.0e+00,0.9317,1103,1252,1236,1299,1299,1351,1664
GENE-2722,NO,2302.7,1216,1086.7,0.894,-0.2,2.4e-01,1.0e+00,0.932,1104,1193,1282,1173,1043,1071,1146
GENE-12325,NO,142.7,61.3,81.3,1.325,0.4,2.4e-01,1.0e+00,0.9331,1107,52,75,57,82,112,50
