run_accession,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
SRR24181939,SAMN34203382,GSM7177982,"wild type nuclei, 0.31 nM Dam, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,483138162;483088964,2096549800,20965498,GSM7177982,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/039/SRR24181939/SRR24181939_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/039/SRR24181939/SRR24181939_2.fastq.gz']","483 MB, 483 MB files; 21.0 million reads; 2096.5 million sequenced bases"
SRR24181949,SAMN34203393,GSM7177971,"Isw1/Chd1-degron live cells, 480 min auxin, 240 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,412066939;411248718,1815561300,18155613,GSM7177971,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/049/SRR24181949/SRR24181949_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/049/SRR24181949/SRR24181949_2.fastq.gz']","412 MB, 411 MB files; 18.2 million reads; 1815.6 million sequenced bases"
SRR24181941,SAMN34203385,GSM7177979,"Isw1/Chd1-degron live cells, 480 min auxin, 240 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,802950993;800665309,3556086800,35560868,GSM7177979,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/041/SRR24181941/SRR24181941_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/041/SRR24181941/SRR24181941_2.fastq.gz']","803 MB, 801 MB files; 35.6 million reads; 3556.1 million sequenced bases"
SRR24181954,SAMN34203397,GSM7177967,"Isw1/Chd1-degron live cells, 270 min auxin, 30 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,514831876;514002304,2242870100,22428701,GSM7177967,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/054/SRR24181954/SRR24181954_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/054/SRR24181954/SRR24181954_2.fastq.gz']","515 MB, 514 MB files; 22.4 million reads; 2242.9 million sequenced bases"
SRR24181947,SAMN34203390,GSM7177974,"Isw1/Chd1-degron live cells, 240 min auxin, 0 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,1054354779;1052416350,4593435000,45934350,GSM7177974,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/047/SRR24181947/SRR24181947_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/047/SRR24181947/SRR24181947_2.fastq.gz']","1 GB, 1 GB files; 45.9 million reads; 4593.4 million sequenced bases"
SRR24181955,SAMN34203398,GSM7177966,"Isw1/Chd1-degron live cells, 240 min auxin, 0 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,399881397;399234520,1738301600,17383016,GSM7177966,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/055/SRR24181955/SRR24181955_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/055/SRR24181955/SRR24181955_2.fastq.gz']","400 MB, 399 MB files; 17.4 million reads; 1738.3 million sequenced bases"
SRR24181950,SAMN34203394,GSM7177970,"Isw1/Chd1-degron live cells, 420 min auxin, 180 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,406997509;406324181,1798453200,17984532,GSM7177970,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/050/SRR24181950/SRR24181950_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/050/SRR24181950/SRR24181950_2.fastq.gz']","407 MB, 406 MB files; 18.0 million reads; 1798.5 million sequenced bases"
SRR24181956,SAMN34203399,GSM7177965,"Isw1/Chd1-degron live cells, 180 min auxin, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,364566164;363902246,1586197100,15861971,GSM7177965,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/056/SRR24181956/SRR24181956_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/056/SRR24181956/SRR24181956_2.fastq.gz']","365 MB, 364 MB files; 15.9 million reads; 1586.2 million sequenced bases"
SRR24181960,SAMN34203403,GSM7177961,"Chd1-degron live cells, 360 min auxin, 120 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,463177238;462632015,2042111600,20421116,GSM7177961,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/060/SRR24181960/SRR24181960_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/060/SRR24181960/SRR24181960_2.fastq.gz']","463 MB, 463 MB files; 20.4 million reads; 2042.1 million sequenced bases"
SRR24181961,SAMN34203404,GSM7177960,"Chd1-degron live cells, 300 min auxin, 60 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,536446655;535114805,2343151800,23431518,GSM7177960,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/061/SRR24181961/SRR24181961_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/061/SRR24181961/SRR24181961_2.fastq.gz']","536 MB, 535 MB files; 23.4 million reads; 2343.2 million sequenced bases"
SRR24181964,SAMN34203407,GSM7177957,"Chd1-degron live cells, 180 min auxin, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,603659170;602981507,2623240800,26232408,GSM7177957,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/064/SRR24181964/SRR24181964_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/064/SRR24181964/SRR24181964_2.fastq.gz']","604 MB, 603 MB files; 26.2 million reads; 2623.2 million sequenced bases"
SRR24181952,SAMN34203395,GSM7177969,"Isw1/Chd1-degron live cells, 360 min auxin, 120 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,356485120;355853593,1570677300,15706773,GSM7177969,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/052/SRR24181952/SRR24181952_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/052/SRR24181952/SRR24181952_2.fastq.gz']","356 MB, 356 MB files; 15.7 million reads; 1570.7 million sequenced bases"
SRR24181973,SAMN34203416,GSM7177948,"Chd1-degron live cells, 0 min auxin, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,579140155;578466631,2522828800,25228288,GSM7177948,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/073/SRR24181973/SRR24181973_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/073/SRR24181973/SRR24181973_2.fastq.gz']","579 MB, 578 MB files; 25.2 million reads; 2522.8 million sequenced bases"
SRR24181975,SAMN34203418,GSM7177946,"Isw1-degron live cells, 420 min auxin, 180 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,485233815;483895931,2130621400,21306214,GSM7177946,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/075/SRR24181975/SRR24181975_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/075/SRR24181975/SRR24181975_2.fastq.gz']","485 MB, 484 MB files; 21.3 million reads; 2130.6 million sequenced bases"
SRR24181977,SAMN34203420,GSM7177944,"Isw1-degron live cells, 300 min auxin, 60 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,726975868;725501697,3181439900,31814399,GSM7177944,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/077/SRR24181977/SRR24181977_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/077/SRR24181977/SRR24181977_2.fastq.gz']","727 MB, 726 MB files; 31.8 million reads; 3181.4 million sequenced bases"
SRR24181953,SAMN34203396,GSM7177968,"Isw1/Chd1-degron live cells, 300 min auxin, 60 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,511549799;511007646,2245428400,22454284,GSM7177968,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/053/SRR24181953/SRR24181953_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/053/SRR24181953/SRR24181953_2.fastq.gz']","512 MB, 511 MB files; 22.5 million reads; 2245.4 million sequenced bases"
SRR24181982,SAMN34203425,GSM7177939,"Isw1-degron live cells, 480 min auxin, 240 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,726026841;724569473,3195300700,31953007,GSM7177939,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/082/SRR24181982/SRR24181982_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/082/SRR24181982/SRR24181982_2.fastq.gz']","726 MB, 725 MB files; 32.0 million reads; 3195.3 million sequenced bases"
SRR24181986,SAMN34203429,GSM7177935,"Isw1-degron live cells, 270 min auxin, 30 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,511479939;510008984,2228551700,22285517,GSM7177935,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/086/SRR24181986/SRR24181986_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/086/SRR24181986/SRR24181986_2.fastq.gz']","511 MB, 510 MB files; 22.3 million reads; 2228.6 million sequenced bases"
SRR24181957,SAMN34203400,GSM7177964,"Isw1/Chd1-degron live cells, 0 min auxin, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,465669239;464890011,2031212700,20312127,GSM7177964,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/057/SRR24181957/SRR24181957_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/057/SRR24181957/SRR24181957_2.fastq.gz']","466 MB, 465 MB files; 20.3 million reads; 2031.2 million sequenced bases"
SRR24181992,SAMN34203435,GSM7177929,"Rsc8-degron live cells, 360 min auxin, 120 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,368489261;367796226,1596556200,15965562,GSM7177929,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/092/SRR24181992/SRR24181992_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/092/SRR24181992/SRR24181992_2.fastq.gz']","368 MB, 368 MB files; 16.0 million reads; 1596.6 million sequenced bases"
SRR24181958,SAMN34203401,GSM7177963,"Chd1-degron live cells, 480 min auxin, 240 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,452506249;451634883,2018869800,20188698,GSM7177963,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/058/SRR24181958/SRR24181958_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/058/SRR24181958/SRR24181958_2.fastq.gz']","453 MB, 452 MB files; 20.2 million reads; 2018.9 million sequenced bases"
SRR24181993,SAMN34203436,GSM7177928,"Rsc8-degron live cells, 300 min auxin, 60 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,429051695;428508087,1856752900,18567529,GSM7177928,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/093/SRR24181993/SRR24181993_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/093/SRR24181993/SRR24181993_2.fastq.gz']","429 MB, 429 MB files; 18.6 million reads; 1856.8 million sequenced bases"
SRR24181959,SAMN34203402,GSM7177962,"Chd1-degron live cells, 420 min auxin, 180 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,626319896;624638532,2755622600,27556226,GSM7177962,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/059/SRR24181959/SRR24181959_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/059/SRR24181959/SRR24181959_2.fastq.gz']","626 MB, 625 MB files; 27.6 million reads; 2755.6 million sequenced bases"
SRR24181994,SAMN34203437,GSM7177927,"Rsc8-degron live cells, 270 min auxin, 30 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,206073921;205815417,894016600,8940166,GSM7177927,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/094/SRR24181994/SRR24181994_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/094/SRR24181994/SRR24181994_2.fastq.gz']","206 MB, 206 MB files; 8.9 million reads; 894.0 million sequenced bases"
SRR24181963,SAMN34203406,GSM7177958,"Chd1-degron live cells, 240 min auxin, 0 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,473550343;472632467,2064216000,20642160,GSM7177958,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/063/SRR24181963/SRR24181963_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/063/SRR24181963/SRR24181963_2.fastq.gz']","474 MB, 473 MB files; 20.6 million reads; 2064.2 million sequenced bases"
SRR24181995,SAMN34203438,GSM7177926,"Rsc8-degron live cells, 240 min auxin, 0 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,105536962;105460990,457961100,4579611,GSM7177926,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/095/SRR24181995/SRR24181995_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/095/SRR24181995/SRR24181995_2.fastq.gz']","106 MB, 105 MB files; 4.6 million reads; 458.0 million sequenced bases"
SRR24181967,SAMN34203410,GSM7177954,"Chd1-degron live cells, 420 min auxin, 180 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,661083137;660115852,2905396100,29053961,GSM7177954,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/067/SRR24181967/SRR24181967_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/067/SRR24181967/SRR24181967_2.fastq.gz']","661 MB, 660 MB files; 29.1 million reads; 2905.4 million sequenced bases"
SRR24181997,SAMN34203440,GSM7177924,"Rsc8-degron live cells, 0 min auxin, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,302364956;302075543,1309077600,13090776,GSM7177924,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/097/SRR24181997/SRR24181997_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/097/SRR24181997/SRR24181997_2.fastq.gz']","302 MB, 302 MB files; 13.1 million reads; 1309.1 million sequenced bases"
SRR24182001,SAMN34203444,GSM7177920,"Rsc8-degron live cells, 300 min auxin, 60 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,209601940;209248093,914024100,9140241,GSM7177920,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/001/SRR24182001/SRR24182001_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/001/SRR24182001/SRR24182001_2.fastq.gz']","210 MB, 209 MB files; 9.1 million reads; 914.0 million sequenced bases"
SRR24181970,SAMN34203413,GSM7177951,"Chd1-degron live cells, 270 min auxin, 30 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,490644048;490052128,2139727100,21397271,GSM7177951,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/070/SRR24181970/SRR24181970_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/070/SRR24181970/SRR24181970_2.fastq.gz']","491 MB, 490 MB files; 21.4 million reads; 2139.7 million sequenced bases"
SRR24182002,SAMN34203445,GSM7177919,"Rsc8-degron live cells, 270 min auxin, 30 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,296227056;295828340,1285492700,12854927,GSM7177919,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/002/SRR24182002/SRR24182002_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/002/SRR24182002/SRR24182002_2.fastq.gz']","296 MB, 296 MB files; 12.9 million reads; 1285.5 million sequenced bases"
SRR24181971,SAMN34203414,GSM7177950,"Chd1-degron live cells, 240 min auxin, 0 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,418573693;418007568,1827827300,18278273,GSM7177950,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/071/SRR24181971/SRR24181971_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/071/SRR24181971/SRR24181971_2.fastq.gz']","419 MB, 418 MB files; 18.3 million reads; 1827.8 million sequenced bases"
SRR24182004,SAMN34203447,GSM7177917,"Rsc8-degron live cells, 180 min auxin, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,249243963;248854247,1083401400,10834014,GSM7177917,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/004/SRR24182004/SRR24182004_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/004/SRR24182004/SRR24182004_2.fastq.gz']","249 MB, 249 MB files; 10.8 million reads; 1083.4 million sequenced bases"
SRR24181980,SAMN34203423,GSM7177941,"Isw1-degron live cells, 180 min auxin, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,315215420;314439507,1381932400,13819324,GSM7177941,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/080/SRR24181980/SRR24181980_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/080/SRR24181980/SRR24181980_2.fastq.gz']","315 MB, 314 MB files; 13.8 million reads; 1381.9 million sequenced bases"
SRR24182009,SAMN34203452,GSM7177912,"wild type live cells, 300 min auxin, 60 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,168923416;168724461,734444400,7344444,GSM7177912,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/009/SRR24182009/SRR24182009_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/009/SRR24182009/SRR24182009_2.fastq.gz']","169 MB, 169 MB files; 7.3 million reads; 734.4 million sequenced bases"
SRR24181983,SAMN34203426,GSM7177938,"Isw1-degron live cells, 420 min auxin, 180 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,745521132;743859170,3283377400,32833774,GSM7177938,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/083/SRR24181983/SRR24181983_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/083/SRR24181983/SRR24181983_2.fastq.gz']","746 MB, 744 MB files; 32.8 million reads; 3283.4 million sequenced bases"
SRR24182013,SAMN34203454,GSM7177910,"wild type live cells, 240 min auxin, 0 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,144913906;144795580,629795800,6297958,GSM7177910,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/013/SRR24182013/SRR24182013_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/013/SRR24182013/SRR24182013_2.fastq.gz']","145 MB, 145 MB files; 6.3 million reads; 629.8 million sequenced bases"
SRR24181985,SAMN34203428,GSM7177936,"Isw1-degron live cells, 300 min auxin, 60 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,534345028;533149932,2347712300,23477123,GSM7177936,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/085/SRR24181985/SRR24181985_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/085/SRR24181985/SRR24181985_2.fastq.gz']","534 MB, 533 MB files; 23.5 million reads; 2347.7 million sequenced bases"
SRR24182014,SAMN34203478,GSM7177886,"arrested wild type live cells, 210 min alpha-factor, 30 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,372248559;371311214,1622194500,16221945,GSM7177886,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/014/SRR24182014/SRR24182014_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/014/SRR24182014/SRR24182014_2.fastq.gz']","372 MB, 371 MB files; 16.2 million reads; 1622.2 million sequenced bases"
SRR24181987,SAMN34203430,GSM7177934,"Isw1-degron live cells, 240 min auxin, 0 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,478915919;477816626,2087990200,20879902,GSM7177934,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/087/SRR24181987/SRR24181987_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/087/SRR24181987/SRR24181987_2.fastq.gz']","479 MB, 478 MB files; 20.9 million reads; 2088.0 million sequenced bases"
SRR24181988,SAMN34203431,GSM7177933,"Isw1-degron live cells, 180 min auxin, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,441687673;440635331,1929917300,19299173,GSM7177933,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/088/SRR24181988/SRR24181988_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/088/SRR24181988/SRR24181988_2.fastq.gz']","442 MB, 441 MB files; 19.3 million reads; 1929.9 million sequenced bases"
SRR24182016,SAMN34203463,GSM7177901,"wild type live cells, 180 min auxin, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,275204950;274756836,1195798400,11957984,GSM7177901,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/016/SRR24182016/SRR24182016_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/016/SRR24182016/SRR24182016_2.fastq.gz']","275 MB, 275 MB files; 12.0 million reads; 1195.8 million sequenced bases"
SRR24182017,SAMN34203480,GSM7177884,"arrested wild type live cells, 0 min alpha-factor, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,359922395;359483874,1571324200,15713242,GSM7177884,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/017/SRR24182017/SRR24182017_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/017/SRR24182017/SRR24182017_2.fastq.gz']","360 MB, 359 MB files; 15.7 million reads; 1571.3 million sequenced bases"
SRR24181989,SAMN34203432,GSM7177932,"Isw1-degron live cells, 0 min auxin, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,398234671;397443607,1749639900,17496399,GSM7177932,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/089/SRR24181989/SRR24181989_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/089/SRR24181989/SRR24181989_2.fastq.gz']","398 MB, 397 MB files; 17.5 million reads; 1749.6 million sequenced bases"
